Grade,Performance level,Subject,Year,State,Region 04,District,"African-
American",Hispanic,White,American-Indian,Asian,Pacific-Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continuously Enrolled,Non-Continuously Enrolled,Econ-Disadv,EL (Current & Monitored)
3,Below,Reading,2019,76%,76%,72%,60%,71%,90%,80%,93%,78%,86%,42%,72%,73%,67%,67%,72%
3,Below,Reading,2018,77%,77%,71%,60%,71%,90%,76%,92%,NaN,86%,43%,65%,72%,67%,67%,71%
3,Reached,Reading,2019,45%,46%,42%,29%,39%,69%,55%,80%,56%,70%,26%,39%,43%,36%,35%,40%
3,Reached,Reading,2018,43%,44%,39%,27%,37%,67%,38%,76%,NaN,66%,28%,28%,40%,35%,33%,38%
3,Above,Reading,2019,27%,28%,26%,16%,22%,54%,45%,65%,56%,50%,9%,25%,26%,22%,19%,23%
3,Above,Reading,2018,25%,25%,22%,14%,19%,47%,14%,54%,NaN,50%,10%,15%,22%,19%,17%,19%
3,Below,Mathematics,2019,79%,79%,76%,63%,77%,91%,70%,95%,78%,90%,44%,79%,77%,69%,72%,78%
3,Below,Mathematics,2018,78%,79%,74%,63%,75%,90%,76%,94%,NaN,86%,48%,74%,76%,68%,71%,77%
3,Reached,Mathematics,2019,49%,49%,46%,31%,45%,72%,55%,85%,78%,71%,28%,46%,48%,38%,40%,46%
3,Reached,Mathematics,2018,47%,48%,44%,29%,43%,71%,38%,83%,NaN,67%,30%,43%,46%,37%,39%,45%
3,Above,Mathematics,2019,25%,25%,24%,13%,21%,47%,40%,66%,78%,50%,11%,27%,25%,19%,18%,22%
3,Above,Mathematics,2018,23%,24%,22%,12%,21%,43%,14%,62%,NaN,44%,11%,21%,24%,17%,18%,22%
4,Below,Reading,2019,75%,75%,69%,59%,68%,89%,75%,90%,NaN,84%,37%,61%,70%,65%,64%,66%
4,Below,Reading,2018,73%,73%,65%,55%,63%,89%,65%,91%,83%,86%,37%,57%,66%,60%,60%,61%
4,Reached,Reading,2019,44%,45%,39%,29%,36%,68%,25%,75%,NaN,68%,24%,28%,40%,35%,32%,34%
4,Reached,Reading,2018,46%,46%,39%,30%,35%,74%,35%,77%,0%,67%,28%,34%,41%,35%,33%,33%
4,Above,Reading,2019,22%,23%,20%,12%,17%,47%,4%,53%,NaN,45%,7%,14%,21%,18%,14%,16%
4,Above,Reading,2018,24%,25%,21%,14%,17%,50%,13%,57%,0%,47%,10%,19%,22%,18%,15%,16%
4,Below,Mathematics,2019,75%,76%,72%,59%,73%,88%,71%,93%,NaN,89%,42%,65%,74%,67%,69%,74%
4,Below,Mathematics,2018,78%,80%,76%,64%,76%,89%,78%,95%,71%,88%,41%,70%,77%,69%,73%,77%
4,Reached,Mathematics,2019,48%,49%,45%,30%,45%,70%,25%,84%,NaN,70%,27%,43%,47%,39%,40%,46%
4,Reached,Mathematics,2018,49%,51%,48%,34%,47%,71%,52%,86%,43%,65%,27%,43%,50%,40%,43%,49%
4,Above,Mathematics,2019,28%,30%,27%,15%,26%,52%,21%,71%,NaN,50%,12%,26%,29%,23%,22%,27%
4,Above,Mathematics,2018,27%,29%,27%,16%,25%,52%,30%,71%,0%,47%,11%,27%,30%,21%,23%,27%
4,Below,Writing,2019,67%,67%,62%,50%,61%,83%,54%,89%,NaN,79%,30%,47%,63%,56%,57%,61%
4,Below,Writing,2018,63%,63%,57%,46%,55%,82%,55%,89%,71%,81%,28%,50%,59%,50%,52%,55%
4,Reached,Writing,2019,35%,35%,32%,22%,29%,60%,25%,70%,NaN,57%,20%,19%,33%,27%,26%,29%
4,Reached,Writing,2018,39%,40%,36%,26%,33%,66%,41%,76%,14%,61%,22%,29%,38%,29%,30%,33%
4,Above,Writing,2019,11%,11%,10%,5%,8%,26%,4%,39%,NaN,28%,8%,6%,11%,8%,7%,9%
4,Above,Writing,2018,11%,11%,11%,5%,9%,29%,9%,43%,0%,30%,9%,12%,12%,8%,7%,10%
5,Below,Reading,2019,86%,86%,81%,76%,80%,95%,82%,96%,NaN,94%,46%,78%,82%,79%,78%,78%
5,Below,Reading,2018,84%,83%,77%,72%,76%,95%,81%,95%,70%,91%,48%,76%,78%,73%,74%,74%
5,Reached,Reading,2019,54%,54%,47%,40%,43%,80%,36%,86%,NaN,76%,25%,39%,48%,44%,41%,39%
5,Reached,Reading,2018,54%,54%,47%,39%,44%,80%,56%,85%,70%,76%,30%,43%,49%,42%,41%,42%
5,Above,Reading,2019,29%,30%,26%,19%,21%,59%,9%,66%,NaN,60%,9%,24%,27%,23%,19%,18%
5,Above,Reading,2018,26%,27%,23%,16%,18%,55%,15%,64%,50%,53%,9%,23%,24%,19%,16%,17%
5,Below,Mathematics,2019,90%,89%,86%,78%,86%,94%,82%,97%,NaN,93%,59%,82%,87%,81%,84%,87%
5,Below,Mathematics,2018,91%,90%,86%,78%,87%,94%,96%,97%,90%,92%,59%,81%,87%,81%,84%,87%
5,Reached,Mathematics,2019,58%,59%,55%,40%,55%,77%,59%,90%,NaN,72%,28%,50%,58%,45%,50%,56%
5,Reached,Mathematics,2018,58%,58%,53%,39%,53%,75%,41%,90%,60%,75%,32%,49%,56%,42%,48%,54%
5,Above,Mathematics,2019,36%,38%,36%,21%,34%,62%,27%,80%,NaN,56%,13%,39%,38%,26%,30%,35%
5,Above,Mathematics,2018,30%,31%,29%,17%,27%,54%,26%,77%,40%,52%,13%,25%,31%,21%,23%,28%
5,Below,Science,2019,75%,75%,68%,59%,67%,88%,73%,92%,NaN,85%,35%,66%,70%,63%,64%,65%
5,Below,Science,2018,76%,76%,69%,60%,69%,89%,63%,91%,75%,84%,42%,74%,71%,63%,65%,67%
5,Reached,Science,2019,49%,50%,42%,29%,40%,70%,27%,78%,NaN,62%,23%,39%,44%,35%,36%,37%
5,Reached,Science,2018,41%,42%,36%,25%,33%,64%,33%,76%,58%,63%,24%,37%,37%,29%,30%,32%
5,Above,Science,2019,24%,25%,19%,10%,17%,44%,9%,54%,NaN,42%,9%,19%,21%,15%,14%,16%
5,Above,Science,2018,17%,18%,15%,8%,12%,38%,7%,52%,42%,38%,8%,16%,16%,12%,11%,12%
6,Below,Reading,2019,68%,69%,63%,55%,60%,88%,67%,91%,82%,78%,30%,55%,64%,58%,57%,55%
6,Below,Reading,2018,69%,71%,64%,56%,62%,88%,64%,90%,73%,86%,35%,53%,66%,59%,59%,59%
6,Reached,Reading,2019,37%,38%,34%,27%,28%,68%,17%,75%,82%,64%,23%,25%,35%,29%,26%,24%
6,Reached,Reading,2018,39%,41%,36%,27%,32%,70%,50%,74%,53%,69%,25%,30%,38%,32%,29%,28%
6,Above,Reading,2019,18%,19%,16%,11%,12%,43%,8%,52%,55%,42%,8%,12%,17%,14%,10%,9%
6,Above,Reading,2018,19%,20%,17%,12%,13%,45%,18%,52%,27%,42%,9%,14%,18%,15%,12%,11%
6,Below,Mathematics,2019,81%,81%,75%,66%,75%,93%,75%,95%,91%,86%,47%,65%,77%,70%,72%,73%
6,Below,Mathematics,2018,77%,78%,73%,62%,74%,90%,82%,95%,75%,86%,46%,69%,75%,67%,70%,72%
6,Reached,Mathematics,2019,47%,48%,42%,30%,40%,70%,21%,86%,64%,66%,26%,37%,45%,34%,36%,39%
6,Reached,Mathematics,2018,44%,46%,42%,28%,41%,69%,59%,83%,50%,65%,25%,34%,44%,34%,36%,40%
6,Above,Mathematics,2019,21%,22%,20%,10%,16%,45%,4%,70%,36%,44%,12%,17%,21%,14%,14%,16%
6,Above,Mathematics,2018,18%,20%,18%,9%,16%,38%,18%,63%,13%,42%,10%,17%,20%,13%,14%,16%
7,Below,Science,2019,76%,77%,72%,66%,70%,90%,71%,91%,85%,94%,38%,63%,74%,66%,67%,63%
7,Below,Science,2018,74%,76%,69%,63%,66%,90%,68%,93%,80%,92%,33%,58%,71%,62%,64%,63%
7,Reached,Science,2019,49%,51%,47%,38%,43%,77%,50%,79%,69%,85%,26%,46%,49%,40%,39%,33%
7,Reached,Science,2018,48%,50%,44%,36%,39%,78%,44%,84%,80%,71%,24%,32%,46%,37%,36%,35%
7,Above,Science,2019,29%,31%,28%,20%,24%,57%,29%,68%,46%,61%,12%,27%,30%,24%,22%,17%
7,Above,Science,2018,29%,30%,26%,18%,21%,60%,24%,68%,67%,52%,10%,17%,27%,22%,20%,18%
7,Below,Reading,2019,75%,77%,72%,64%,72%,88%,71%,93%,82%,89%,45%,64%,75%,65%,69%,67%
7,Below,Reading,2018,72%,75%,67%,57%,67%,86%,79%,90%,80%,88%,37%,61%,70%,59%,63%,65%
7,Reached,Reading,2019,43%,46%,42%,29%,42%,66%,50%,79%,45%,71%,29%,36%,45%,33%,37%,37%
7,Reached,Reading,2018,40%,43%,37%,27%,36%,66%,38%,80%,80%,57%,20%,26%,40%,29%,33%,34%
7,Above,Reading,2019,17%,18%,18%,10%,16%,35%,11%,58%,27%,35%,12%,16%,19%,13%,14%,14%
7,Above,Reading,2018,18%,20%,18%,10%,16%,39%,21%,62%,60%,40%,8%,13%,19%,13%,14%,15%
7,Below,Mathematics,2019,70%,72%,67%,60%,65%,87%,63%,90%,77%,90%,33%,49%,70%,60%,62%,58%
7,Below,Mathematics,2018,69%,69%,61%,57%,57%,87%,64%,92%,93%,86%,25%,46%,64%,54%,55%,53%
7,Reached,Mathematics,2019,42%,43%,41%,32%,36%,70%,41%,80%,46%,79%,24%,31%,43%,31%,33%,28%
7,Reached,Mathematics,2018,43%,44%,37%,30%,31%,70%,24%,81%,80%,66%,19%,18%,39%,30%,30%,27%
7,Above,Mathematics,2019,18%,19%,18%,13%,13%,40%,15%,62%,38%,50%,12%,14%,19%,13%,12%,8%
7,Above,Mathematics,2018,15%,16%,13%,7%,8%,37%,8%,54%,47%,40%,7%,9%,14%,9%,8%,7%
8,Below,Reading,2019,86%,86%,81%,76%,80%,95%,79%,96%,85%,95%,42%,63%,83%,77%,78%,70%
8,Below,Reading,2018,86%,86%,81%,76%,79%,95%,83%,96%,94%,95%,46%,75%,83%,73%,77%,74%
8,Reached,Reading,2019,55%,56%,50%,42%,46%,80%,50%,86%,85%,80%,23%,35%,52%,44%,43%,29%
8,Reached,Reading,2018,49%,51%,46%,36%,42%,78%,61%,80%,75%,64%,27%,35%,49%,37%,39%,34%
8,Above,Reading,2019,28%,30%,26%,19%,21%,56%,29%,67%,85%,52%,9%,16%,27%,22%,19%,10%
8,Above,Reading,2018,27%,28%,26%,18%,22%,55%,35%,61%,56%,43%,11%,13%,28%,19%,19%,16%
8,Below,Mathematics,2019,88%,88%,82%,77%,82%,90%,85%,95%,80%,93%,52%,71%,83%,78%,80%,77%
8,Below,Mathematics,2018,86%,87%,80%,73%,81%,89%,69%,94%,80%,83%,49%,79%,83%,73%,78%,79%
8,Reached,Mathematics,2019,57%,58%,48%,41%,47%,66%,50%,82%,60%,67%,27%,28%,51%,42%,44%,39%
8,Reached,Mathematics,2018,51%,52%,45%,34%,45%,65%,38%,81%,50%,53%,28%,41%,48%,36%,41%,42%
8,Above,Mathematics,2019,17%,18%,14%,8%,12%,32%,20%,57%,60%,25%,10%,4%,15%,11%,10%,8%
8,Above,Mathematics,2018,15%,16%,14%,7%,12%,32%,19%,56%,10%,18%,13%,7%,15%,9%,10%,11%
8,Below,Science,2019,81%,81%,74%,66%,72%,91%,78%,95%,92%,94%,39%,60%,75%,69%,70%,61%
8,Below,Science,2018,76%,77%,69%,58%,68%,89%,61%,92%,87%,81%,36%,57%,73%,58%,64%,63%
8,Reached,Science,2019,51%,52%,42%,31%,39%,70%,43%,84%,85%,66%,23%,29%,44%,34%,36%,25%
8,Reached,Science,2018,52%,53%,43%,30%,42%,73%,48%,83%,73%,54%,25%,32%,48%,31%,37%,36%
8,Above,Science,2019,25%,27%,20%,11%,16%,46%,22%,66%,77%,38%,10%,19%,22%,13%,14%,9%
8,Above,Science,2018,28%,29%,22%,12%,19%,50%,26%,68%,40%,35%,10%,22%,25%,14%,16%,16%
8,Below,Social Studies,2019,69%,70%,61%,54%,57%,84%,67%,90%,85%,79%,33%,56%,62%,56%,55%,45%
